col1,name,ra_1,dec_1,flux,x_position,y_position,radius,class_star,img_name,phot_z,mag_r_1,mag_u_1,mag_g,ID,RA_2,DEC_2,Separation_1,z_phot,mag_r_2,mag_u_2,Separation
153074,KIDS J235952.59-311701.36,359.9691329,-31.28371216,6.65E-08,9830.827148,7743.243164,12.41291428,0.028627384,KiDS_DR3.0_0.0_-31.2_r_sci.fits,0.170000002,17.24489403,19.78727722,18.31891632,606,359.9691329,-31.28371216,1.57E-07,0.17,17.25,19.79,9.805297852
503631,KIDS J000640.80-332351.40,1.670019976,-33.39761186,4.65E-08,2265.977783,5406.717285,10.86918449,0.0286291,KiDS_DR3.0_1.2_-33.1_r_sci.fits,0.25999999,17.72040749,21.89057732,19.06648636,335,1.670019976,-33.39761186,1.12E-08,0.26,17.72,21.89,2.080535889
2451183,KIDS J030825.62-301713.29,47.10675436,-30.28702527,4.33E-08,10247.97656,7913.306641,12.09517193,0.02863091,KiDS_DR3.0_47.2_-30.2_r_sci.fits,0.340000004,17.68733978,20.49128723,19.16818428,465,47.10675436,-30.28702527,8.49E-08,0.34,17.69,20.49,4.634857178
2873456,KIDS J031420.57-324202.66,48.58569788,-32.70073821,3.70E-08,11368.3623,17825.23633,8.58806324,0.028629655,KiDS_DR3.0_48.7_-33.1_r_sci.fits,0.209999993,18.13645172,21.62667465,19.55713272,197,48.58569788,-32.70073821,8.55E-08,0.21,18.14,21.63,11.9682312
4211929,KIDS J085446.55-012137.14,133.6939668,-1.360316575,4.53E-08,14748.11035,12300.1543,10.34633923,0.028640756,KiDS_DR3.0_134.0_-1.5_r_sci.fits,0.419999987,17.86367416,21.42921638,19.60905075,317,133.6939668,-1.360316575,6.45E-07,0.42,17.86,21.43,2.822113037
4257055,KIDS J090653.07-015726.12,136.7211165,-1.957254645,2.35E-08,14399.18164,1509.009644,11.35895252,0.028589336,KiDS_DR3.0_137.0_-1.5_r_sci.fits,0.409999996,18.4585495,21.95868492,20.03699493,603,136.7211165,-1.957254645,1.25E-06,0.41,18.46,21.96,4.730987549
5421355,KIDS J084905.49-013315.17,132.2728657,-1.554214821,2.26E-08,4490.183105,8755.013672,8.147409439,0.028625373,KiDS_DR3.0_132.0_-1.5_r_sci.fits,0.419999987,18.83675575,21.85163689,20.33637428,278,132.2728657,-1.554214821,1.47E-06,0.42,18.84,21.85,5.891418457
5911883,KIDS J085803.03-004058.39,134.5126136,-0.682886532,5.27E-08,18014.58789,6685.586426,8.980549812,0.028666073,KiDS_DR3.0_135.0_-0.5_r_sci.fits,0.300000012,17.72098541,21.77111626,19.24236298,686,134.5126136,-0.682886532,3.43E-07,0.3,17.72,21.77,4.016876221
6151709,KIDS J090704.04+012212.60,136.7668177,1.370167602,2.69E-08,13613.11328,7887.02002,8.974308968,0.028632171,KiDS_DR3.0_137.0_1.5_r_sci.fits,0.280000001,18.59479523,21.75124168,19.95622444,106,136.7668177,1.370167602,5.37E-07,0.28,18.59,21.75,4.470062256
9367823,KIDS J114329.65-014429.89,175.8735554,-1.741636694,2.21E-07,11687.97754,5344.631836,18.33855057,0.028630707,KiDS_DR3.0_176.0_-1.5_r_sci.fits,0.150000006,15.63696289,18.55587769,16.64642715,40,175.8735554,-1.741636694,9.53E-07,0.15,15.64,18.56,14.83840942
9628642,KIDS J114741.00-023528.33,176.9208427,-2.591202876,6.45E-08,1547.10791,7785.425781,13.34119701,0.028624469,KiDS_DR3.0_176.5_-2.5_r_sci.fits,0.159999996,17.25345802,19.83547401,18.29869843,228,176.9208427,-2.591202876,2.65E-07,0.16,17.25,19.83,19.70672607
10368426,KIDS J115353.49+021349.58,178.4728896,2.230439184,2.96E-08,9635.467773,5446.485352,12.91477776,0.028621579,KiDS_DR3.0_178.5_2.5_r_sci.fits,0.370000005,18.13717079,22.82690239,19.80638695,388,178.4728896,2.230439184,4.93E-07,0.37,18.14,22.83,11.15112305
10815673,KIDS J120206.48+022243.01,180.5269852,2.378615054,5.73E-08,8891.732422,8131.677734,8.696294785,0.028633155,KiDS_DR3.0_180.5_2.5_r_sci.fits,0.209999993,17.67980957,20.63874054,19.02728653,415,180.5269852,2.378615054,1.51E-06,0.21,17.68,20.64,4.531860352
11245439,KIDS J120649.20+021650.35,181.7049878,2.280652166,3.87E-08,5748.255859,6459.581055,9.243761063,0.028633831,KiDS_DR3.0_181.5_2.5_r_sci.fits,0.239999995,18.09101105,21.27758217,19.51612473,328,181.7049878,2.280652166,5.26E-08,0.24,18.09,21.28,8.706665039
12079147,KIDS J121811.60+025858.02,184.5483504,2.982783486,2.99E-08,8685.167969,19055.95313,8.829503059,0.028657829,KiDS_DR3.0_184.5_2.5_r_sci.fits,0.360000014,18.45957565,21.8829155,20.02874947,376,184.5483504,2.982783486,4.46E-08,0.36,18.46,21.88,10.49880981
12129743,KIDS J122235.31-022516.20,185.6471369,-2.421166927,2.35E-08,6866.413574,10974.27637,9.634160995,0.02857583,KiDS_DR3.0_185.5_-2.5_r_sci.fits,0.300000012,18.61599159,21.89083672,19.90992928,664,185.6471369,-2.421166927,8.30E-07,0.3,18.62,21.89,3.014373779
12182089,KIDS J122241.34+020559.18,185.6722309,2.099772075,6.84E-08,6515.437988,3122.544434,16.38194466,0.028630193,KiDS_DR3.0_185.5_2.5_r_sci.fits,0.289999992,17.01426506,20.46158791,18.54436684,713,185.6722309,2.099772075,2.17E-07,0.29,17.01,20.46,5.71975708
